policyID,statecode,tiv_2015,tiv_2016,Residential,Commercial
386918,NCR,4500,4238.41,1,0
497337,NCR,31071.6,57802.5,1,0
526844,NCR,4956125.85,7279557.65,0,1
623400,NCR,40500,34160.94,1,0
826170,NCR,135868.99,234280.26,1,0
185483,NCR,36784.23,58447.64,1,0
920003,NCR,1086940.9,1770235.43,1,0
274246,NCR,16767.17,17228.6,1,0
423636,NCR,1404900,1840643.78,1,0
970906,NCR,4696520.5,6342697.9,0,1
227898,NCR,67892.48,86628.09,1,0
525138,NCR,86056.32,125938.17,1,0
923627,NCR,67892.48,64169.8,1,0
619743,NCR,67892.48,80898.23,1,0
910727,NCR,86056.32,91244.65,1,0
363647,NCR,67892.48,92333.77,1,0
512519,NCR,101009.36,98181.1,1,0
904304,NCR,67892.48,66272.56,1,0
835349,NCR,67892.48,99945.87,1,0
891725,NCR,86056.32,139415.11,1,0
923503,NCR,86056.32,106664.4,1,0
292347,NCR,132603.34,115117.07,1,0
363828,NCR,132603.34,216561.94,1,0
110490,NCR,91764.15,70364.02,1,0
480733,NCR,457854.5,345588.57,1,0
993346,NCR,385480.82,558330.42,1,0
934992,NCR,213596.46,190329.82,1,0
645841,NCR,1051338.42,1069841.98,1,0
747846,NCR,6472.62,9957.87,1,0
482457,NCR,159041.52,249984.64,1,0
574787,NCR,12945.24,19024.97,1,0
831418,NCR,29589.12,35207.53,1,0
968562,NCR,12945.24,16859.05,1,0
576324,NCR,29061,40749.33,1,0
290435,NCR,48087,68008.1,1,0
526086,NCR,128628,133425.18,1,0
119823,NCR,128628,168246.71,1,0
497414,NCR,128628,176279.14,1,0
340883,NCR,4968,5265.92,1,0
892551,NCR,157005,131774.3,1,0
670595,NCR,459,847.36,1,0
194101,NCR,459,428.69,1,0
167200,NCR,1062,1602.72,1,0
139064,NCR,2304,2474.16,1,0
846636,NCR,1476,1935.04,1,0
310177,NCR,185040,313975.87,1,0
865452,NCR,11095.92,11961.62,1,0
783429,NCR,8321.94,9646.79,1,0
878060,NCR,199726.56,277743.75,1,0
935342,NCR,118356.48,182860.76,1,0
456376,NCR,17568.54,29936.79,1,0
363001,NCR,147945.6,238338.59,1,0
478864,NCR,724933.44,767347.85,1,0
600402,NCR,8284485.6,8073943.68,0,1
483983,NCR,438498,636264.11,1,0
991615,NCR,99960.9,88679.21,1,0
644573,NCR,669692.78,841130.78,1,0
853278,NCR,240539.39,412765.59,1,0
100658,NCR,331518.28,464703.76,1,0
433115,NCR,5919.86,9839.94,1,0
760337,NCR,77426.73,73196.13,1,0
884738,NCR,765763.8,735948.78,1,0
610102,NCR,7532014.45,10710000,0,1
830823,NCR,963962.79,977226.92,1,0
618364,NCR,121066.57,115414.7,1,0
712563,NCR,70964.84,72362.85,1,0
493030,NCR,755749,658571.77,1,0
188150,NCR,2162232,2520816.55,0,1
589642,NCR,615141.68,895926.17,1,0
846109,NCR,135000,138827.52,1,0
399079,NCR,161748,235301.93,1,0
680135,NCR,164484,194814.85,1,0
621379,NCR,170532,178465.15,1,0
606710,NCR,181980,181216.05,1,0
443319,NCR,181980,151151.13,1,0
228591,NCR,186012,176389.97,1,0
721610,NCR,192348,210005.55,1,0
507395,NCR,197604,203450.71,1,0
213399,NCR,198468,202538.58,1,0
579400,NCR,198612,226675.88,1,0
509951,NCR,200052,335395.98,1,0
930798,NCR,201276,216909.11,1,0
729247,NCR,207324,252344.61,1,0
288344,NCR,208836,310058.81,1,0
275351,NCR,212436,225030.91,1,0
976690,NCR,218052,332681.94,1,0
507111,NCR,218412,222125,1,0
547458,NCR,221076,277280.37,1,0
827732,NCR,226764,303833.37,1,0
229489,NCR,237132,282225.02,1,0
175251,NCR,239652,178583.88,1,0
590043,NCR,245052,241166.46,1,0
476037,NCR,245052,306551.23,1,0
674960,NCR,257868,338372.33,1,0
743790,NCR,6381518.4,8757880.98,0,1
817283,NCR,15390000,11790000,0,1
201980,NCR,235696.5,353171.41,1,0
351505,NCR,18000,16830,1,0
798806,NCR,1772074.8,1768133.71,1,0
153643,NCR,95922,150073.42,1,0
683653,NCR,20763,20966.31,1,0
475264,NCR,16560000,20610000,0,1
912944,NCR,582759.1,1020490.44,1,0
945134,NCR,2244.53,2937.46,1,0
219959,NCR,196396.18,190425.74,1,0
793504,NCR,21500.33,19687.96,1,0
450423,NCR,74091.86,110035.31,1,0
505178,NCR,86863.23,123807.2,1,0
408688,NCR,796134.02,838972.4,1,0
477759,NCR,298522.2,227585.86,1,0
882441,NCR,23118.64,23505.92,1,0
727602,NCR,63407.91,78862,1,0
313226,NCR,285728.39,288837.12,1,0
337027,NCR,9016.27,9045.12,1,0
649251,NCR,80915.23,98214.9,1,0
142564,NCR,28898.3,36004.04,1,0
197782,NCR,1505741.49,2197471.6,1,0
709787,NCR,53078.59,62305.99,1,0
655065,NCR,162952.72,185883.43,1,0
176778,NCR,2261249.55,1825782.64,0,1
559179,NCR,1363101.75,1619364.87,1,0
698071,NCR,295716.54,247758.41,1,0
642950,NCR,392231.24,344336.66,1,0
477240,NCR,192917.17,238214.12,1,0
672348,NCR,168339.59,269983.03,1,0
922844,NCR,316029.52,337216.14,1,0
948580,NCR,151505.63,185310.32,1,0
364552,NCR,280565.98,329505.66,1,0
561601,NCR,460128.2,792672.06,1,0
584749,NCR,324000,506745.07,1,0
601327,NCR,212850,340143.88,1,0
302578,NCR,135000,150719.13,1,0
756585,NCR,94284,100714.17,1,0
627591,NCR,6300,9566.42,1,0
663563,NCR,1248407.1,1417531.31,1,0
108959,NCR,114170.34,136068.22,1,0
951069,NCR,498344.66,434656.21,1,0
490641,NCR,910.22,1346.55,1,0
443968,NCR,3195.34,4551.39,1,0
433688,NCR,172157.99,171582.99,1,0
168578,NCR,945000,750524.67,1,0
294375,NCR,76500,121368.78,1,0
902110,NCR,76500,94517.28,1,0
279816,NCR,431726.4,640896.11,1,0
994565,NCR,11767.98,14137.95,1,0
930535,NCR,15981.99,25400.89,1,0
844642,NCR,35302.09,47059.67,1,0
292887,NCR,26396.15,28938.78,1,0
655128,NCR,7536.5,10216,1,0
164038,NCR,13198.07,16695.56,1,0
163057,NCR,29410.75,25890.52,1,0
327730,NCR,13198.07,11239.53,1,0
218187,NCR,25780.36,35155,1,0
697530,NCR,9806.65,16990.72,1,0
619053,NCR,15992.1,23431.62,1,0
431406,NCR,9806.65,7026.15,1,0
256801,NCR,13198.07,22117.33,1,0
571398,NCR,304842.43,250185.41,1,0
239669,NCR,13198.07,13200.19,1,0
530369,NCR,48252.01,36139.79,1,0
948187,NCR,9806.65,13926.22,1,0
571059,NCR,9190.86,14678.43,1,0
470539,NCR,68931.45,85159.98,1,0
791046,NCR,68931.45,99578.92,1,0
563971,NCR,27572.58,30033.98,1,0
823903,NCR,13786.29,22316.42,1,0
812504,NCR,9190.86,10540.08,1,0
597719,NCR,102937.63,94857.02,1,0
716513,NCR,19605.94,18479.62,1,0
378286,NCR,13198.07,16161.17,1,0
698982,NCR,9806.65,12391.68,1,0
624550,NCR,9806.65,13533.17,1,0
666076,NCR,11764.3,11058.82,1,0
474145,NCR,7619.22,6304.92,1,0
572929,NCR,13198.07,18039.84,1,0
640205,NCR,6433.6,8588.09,1,0
295930,NCR,6617.42,5824.75,1,0
823004,NCR,9806.65,9970.77,1,0
230536,NCR,8712.94,10813.94,1,0
936142,NCR,301000.66,321265.52,1,0
724639,NCR,57442.87,86664.06,1,0
119986,NCR,18381.72,15298.37,1,0
603370,NCR,3032.98,4916.61,1,0
532496,NCR,3032.98,4227.37,1,0
786954,NCR,9007.04,7864.77,1,0
416348,NCR,18381.72,27063.92,1,0
506364,NCR,652150.86,614169.6,1,0
311994,NCR,75824.59,85602.93,1,0
807442,NCR,91908.6,94516.04,1,0
235695,NCR,45954.3,41626.05,1,0
481294,NCR,64336.02,69354.23,1,0
292670,NCR,234366.92,184597.7,1,0
127739,NCR,13786.29,17192.67,1,0
869056,NCR,22977.15,22060.5,1,0
514471,NCR,18381.72,27269.28,1,0
903764,NCR,91908.6,130879.31,1,0
192068,NCR,43840.4,39041.19,1,0
109815,NCR,38601.61,63272.13,1,0
495339,NCR,413588.69,420116.77,1,0
752123,NCR,13786.29,18320.32,1,0
412775,NCR,22977.15,28403.71,1,0
249958,NCR,25274.86,38878,1,0
754919,NCR,27572.58,24486.1,1,0
829637,NCR,137862.9,127544.55,1,0
931429,NCR,91908.6,97127.17,1,0
565451,NCR,22977.15,31074.07,1,0
722334,NCR,27572.58,36234.34,1,0
630898,NCR,77254.74,114400.37,1,0
166536,NCR,212887.5,184477.66,1,0
469135,NCR,653122.95,1049829.83,1,0
678786,NCR,635702.59,803088.17,1,0
284473,NCR,781465.69,1174149.07,1,0
499389,NCR,638884.47,926230.42,1,0
541241,NCR,1939500,3345521.13,0,1
797586,NCR,6760449.39,6739694.81,0,1
812823,NCR,162366.3,168942.46,1,0
598244,NCR,648862.42,981993.57,1,0
788363,NCR,240578.59,192335.37,1,0
737787,NCR,13467.17,14335.1,1,0
445518,NCR,19639.62,24001.58,1,0
758347,NCR,604316.67,622958.63,1,0
195133,NCR,171459.48,160656.16,1,0
991548,NCR,822091.98,885491.72,1,0
696936,NCR,85444.69,124562.37,1,0
393176,NCR,26934.33,34616.01,1,0
626647,NCR,162728.27,266906.9,1,0
915781,NCR,589356.89,472322.4,1,0
827852,NCR,13657.95,19860.19,1,0
800420,NCR,64726.57,71551.34,1,0
728346,NCR,2603338.04,3496699.52,0,1
928642,NCR,67335.83,69182.52,1,0
442061,NCR,22445.28,24191.61,1,0
810826,NCR,31984.52,52870.8,1,0
336798,NCR,44890.56,60419.64,1,0
830917,NCR,15341.35,20025.98,1,0
984232,NCR,1748172.94,2274163.21,1,0
203667,NCR,212051.77,205713.96,1,0
395084,NCR,238222.96,347967.51,1,0
869242,NCR,174354.92,187374.87,1,0
704537,NCR,29086.84,39703.53,1,0
692691,NCR,49883.51,54682.3,1,0
580758,NCR,33850.85,47324.63,1,0
515486,NCR,14204.49,21284.3,1,0
884079,NCR,60112.94,67485.56,1,0
491095,NCR,776595.4,788694.76,1,0
579764,NCR,88434.4,110143.27,1,0
263177,NCR,61724.52,50970.62,1,0
710739,NCR,33667.92,45290.08,1,0
156129,NCR,64275.42,80342.73,1,0
178800,NCR,216363.6,347251.89,1,0
406073,NCR,106317.27,105384.87,1,0
450089,NCR,170207.57,148194.97,1,0
894206,NCR,189999.9,291171.43,1,0
472007,NCR,635996.7,1010881.77,1,0
500287,NCR,1729530,2062651.31,1,0
365732,NCR,110218.53,114569.52,1,0
365145,NCR,123995.38,142594.69,1,0
237841,NCR,13777.78,22931.74,1,0
497561,NCR,38954.52,30813.03,1,0
245837,NCR,428020.45,590955.85,1,0
732075,NCR,38954.52,44390.39,1,0
657625,NCR,3505598.5,5610030.32,0,1
790556,NCR,140160.38,195355.54,1,0
207626,NCR,60397.19,73202.3,1,0
902008,NCR,1138559.14,1124171.17,1,0
135936,NCR,4623.3,7055.16,1,0
997759,NCR,34212.42,42302.97,1,0
470224,NCR,11095.92,10246.42,1,0
367761,NCR,25899.23,35000.32,1,0
285586,NCR,10211.17,18829.64,1,0
122164,NCR,4084.47,3579.34,1,0
152913,NCR,26920.35,28007.93,1,0
655156,NCR,80668.21,70626.63,1,0
989201,NCR,70642.7,63476.71,1,0
207985,NCR,263169.6,368477.97,1,0
732449,NCR,15873.72,12857.71,1,0
665653,NCR,246924.56,419574.22,1,0
939634,NCR,942304.98,1133298.89,1,0
981796,NCR,12996.03,17111.87,1,0
269573,NCR,42886.9,66233.75,1,0
602123,NCR,2784.86,4613.35,1,0
336717,NCR,105764.12,116617.63,1,0
238449,NCR,18419.71,26153.37,1,0
530357,NCR,36836.28,38632.56,1,0
896911,NCR,214534.66,252790.47,1,0
391646,NCR,44199.98,54449.07,1,0
710345,NCR,51130.14,53139.05,1,0
944525,NCR,194537.7,156395.86,1,0
800878,NCR,28776.92,32189.87,1,0
866106,NCR,151310.92,158091.16,1,0
204794,NCR,179562.23,147384.67,1,0
849458,NCR,16833.96,19110.92,1,0
806471,NCR,24914.26,33937.58,1,0
464589,NCR,169461.85,242525.33,1,0
591943,NCR,407520,652935.06,1,0
973133,NCR,137160,235651.85,1,0
743965,NCR,123300,117740.65,1,0
528185,NCR,37823.84,66198.38,1,0
219113,NCR,181487.52,272492.62,1,0
376803,NCR,948148.79,1344182.96,1,0
233559,NCR,585000,516026.16,1,0
579117,NCR,82620,67513.1,1,0
517674,NCR,61027.56,66963.34,1,0
980808,NCR,22500,15583.05,1,0
143584,NCR,874801.8,1488037.86,1,0
489643,NCR,504230.4,381198.18,1,0
986109,NCR,67591.02,107281.96,1,0
654640,NCR,135763.24,123495.13,1,0
700895,NCR,702820.8,800541,1,0
407962,NCR,129600000,120600000,0,1
494610,NCR,67892.48,51746.63,1,0
744305,NCR,67892.48,95471.01,1,0
512991,NCR,102221.41,123969.01,1,0
507789,NCR,105926,149616.24,1,0
186262,NCR,4542119.64,4765537.43,0,1
978388,NCR,191242.75,275087.39,1,0
784347,NCR,921352.86,1031325.54,1,0
679408,NCR,35322.13,51938.8,1,0
306619,NCR,108562.2,128945.84,1,0
457004,NCR,26195.88,31749.41,1,0
329255,NCR,101204.64,159306.22,1,0
900892,NCR,16160.6,12760.09,1,0
633241,NCR,22781.96,31753.49,1,0
502372,NCR,114298.09,87129.43,1,0
719075,NCR,315302.29,370039.71,1,0
920786,NCR,109954.93,131220.21,1,0
232605,NCR,180630.62,222258.75,1,0
601984,NCR,124374.9,178903.34,1,0
459878,NCR,134464.05,189045.7,1,0
565530,NCR,496159.61,489018.88,1,0
202651,NCR,2311064.6,2670204.04,0,1
909104,NCR,72279,123617.33,1,0
872719,NCR,22356.54,22455.91,1,0
997611,NCR,16767.17,21121.61,1,0
519606,NCR,16767.17,26327.41,1,0
624248,NCR,396814.48,433692.83,1,0
783767,NCR,167668.04,255938.56,1,0
285479,NCR,16767.17,12877.19,1,0
424793,NCR,16767.17,20170.81,1,0
256213,NCR,22356.54,24969.08,1,0
155199,NCR,22356.54,27389.44,1,0
830871,NCR,16767.17,23608.18,1,0
757768,NCR,16767.17,14548.41,1,0
176583,NCR,344852.16,433818.5,1,0
678864,NCR,68970.43,96002.7,1,0
854000,NCR,91960.58,80292.62,1,0
631978,NCR,25748.96,36460.53,1,0
967058,NCR,25105.24,30475.72,1,0
878374,NCR,38623.44,60957.06,1,0
113053,NCR,9196.06,7797.29,1,0
288738,NCR,9196.06,12297.35,1,0
594369,NCR,38623.44,42941.54,1,0
706890,NCR,45980.29,63408.66,1,0
536032,NCR,137940.86,213321.55,1,0
747825,NCR,27944.98,47665.19,1,0
608124,NCR,22356.54,37227.66,1,0
934739,NCR,89423.38,126691.92,1,0
757078,NCR,16767.17,16711.17,1,0
956518,NCR,12250.99,17567.13,1,0
548584,NCR,30686.32,40211.36,1,0
132904,NCR,59774.37,50210.47,1,0
111857,NCR,32186.2,38484.4,1,0
388383,NCR,11549.33,16277.72,1,0
276410,NCR,2070,1875.38,1,0
546756,NCR,42481.06,44399.5,1,0
669229,NCR,321053.4,518064.61,1,0
766573,NCR,132651,220996.57,1,0
765578,NCR,23400,18558.54,1,0
166613,NCR,5932213.89,9630000,0,1
883261,NCR,977330.7,790445.52,1,0
842655,NCR,1222262.42,1186037.01,1,0
248167,NCR,493833.6,694889.06,1,0
976562,NCR,305427.6,269112.26,1,0
620457,NCR,288279,264045.11,1,0
336697,NCR,910695.68,847083.59,1,0
648295,NCR,14066.75,14922.01,1,0
858080,NCR,7571.54,6481.05,1,0
579910,NCR,702715.18,644961.83,1,0
735184,NCR,132894.53,153444.94,1,0
420445,NCR,14066.75,18409.67,1,0
373504,NCR,113441.57,141507.02,1,0
266080,NCR,123449.03,205071.55,1,0
178535,NCR,701414.94,951909.86,1,0
574531,NCR,67590,57465.83,1,0
606491,NCR,14670,15491.3,1,0
885991,NCR,1449866.88,1338076.34,1,0
908170,NCR,1849.32,1987.47,1,0
487022,NCR,372637.98,295022.71,1,0
723719,NCR,211747.14,369024.45,1,0
628922,NCR,6472.62,4657.86,1,0
232316,NCR,2476576.8,2011109.14,0,1
151933,NCR,34713.82,44497.57,1,0
225577,NCR,17198.19,19900.03,1,0
443296,NCR,14453.8,25187.77,1,0
747464,NCR,796867.35,1238331.86,1,0
548566,NCR,1125.2,1040.28,1,0
510281,NCR,59097.75,72289.55,1,0
481334,NCR,58547.04,78757.48,1,0
621142,NCR,2790.13,3172.8,1,0
907206,NCR,12087.22,12932.89,1,0
963412,NCR,5324.12,3869.4,1,0
561805,NCR,1863.44,3091.08,1,0
177053,NCR,75825.74,118661.22,1,0
888564,NCR,228.7,263.6,1,0
399592,NCR,3210.02,2770.49,1,0
616030,NCR,5962.65,9177.71,1,0
671336,NCR,910.22,1329.26,1,0
914194,NCR,910.22,1033.53,1,0
632104,NCR,9660.26,9621.62,1,0
895447,NCR,1585.34,1968.83,1,0
969519,NCR,11880.48,13693.44,1,0
149119,NCR,8370.4,6178.61,1,0
804466,NCR,48183.3,65695.04,1,0
688199,NCR,2706.89,2759.65,1,0
977912,NCR,4665.47,5262.65,1,0
312530,NCR,79587.39,116057.51,1,0
154572,NCR,19210.75,33549.65,1,0
299157,NCR,14453.8,15369.13,1,0
358433,NCR,631.21,659.24,1,0
131991,NCR,1209270.9,1100339.77,1,0
844614,NCR,101097.02,151485.4,1,0
735501,NCR,86949.68,111810.33,1,0
703956,NCR,403517.2,449453.6,1,0
547680,NCR,384.21,345.57,1,0
562722,NCR,45932.5,37800.06,1,0
820860,NCR,45932.5,63980.76,1,0
894562,NCR,45932.5,74512.99,1,0
577091,NCR,45932.5,72779.5,1,0
755818,NCR,45932.5,45436.16,1,0
839723,NCR,45932.5,68771.25,1,0
118899,NCR,45932.5,63744.12,1,0
612231,NCR,45932.5,51958.85,1,0
163526,NCR,45932.5,73699.25,1,0
278995,NCR,37894.32,31070.91,1,0
875706,NCR,126314.39,170615.37,1,0
712263,NCR,114440.68,99204.96,1,0
241888,NCR,292819.71,367252.14,1,0
115934,NCR,918650.08,1442513.96,1,0
214979,NCR,172246.89,237377.74,1,0
601369,NCR,459325.04,633532.33,1,0
859735,NCR,28707.81,34173.78,1,0
868972,NCR,38468.47,41003.54,1,0
369631,NCR,10396.08,16937.5,1,0
130797,NCR,2348172,3324307.1,0,1
770857,NCR,43459.02,61746.58,1,0
834275,NCR,12020.58,16629.19,1,0
102432,NCR,63396,94316.64,1,0
776440,NCR,76779,85471.3,1,0
945568,NCR,244701,196108.28,1,0
132404,NCR,20826,28390.67,1,0
395018,NCR,677898,807315.51,1,0
248575,NCR,1216161,1754044.69,1,0
812631,NCR,2493,2689.15,1,0
220621,NCR,6462,6245.57,1,0
139061,NCR,19890,24338.2,1,0
419108,NCR,94428,83927.61,1,0
391574,NCR,2493,4357.44,1,0
449147,NCR,5967,7703.87,1,0
998635,NCR,18900000,21420000,0,1
437290,NCR,3609198,3013535.96,0,1
395835,NCR,6649758,8312037.91,0,1
613321,NCR,75969,103997.76,1,0
865150,NCR,2493,3497.7,1,0
635664,NCR,7461,8149.76,1,0
529300,NCR,198954,237294.82,1,0
430318,NCR,258633,383294.11,1,0
441395,NCR,11520,10477.95,1,0
294015,NCR,38385,31001.11,1,0
950097,NCR,3029976,3010396.29,0,1
110324,NCR,538857,525967.54,1,0
416938,NCR,1172421,1712133.28,1,0
586755,NCR,2930220,4538280.78,0,1
863494,NCR,1978974,2179396.57,0,1
574538,NCR,1831842,1360956.02,0,1
514370,NCR,460881,675946.51,1,0
373414,NCR,66132,64090.31,1,0
997019,NCR,66132,67076.89,1,0
910144,NCR,66132,83169.59,1,0
552357,NCR,2493,2354.26,1,0
655342,NCR,24867,22753.11,1,0
897773,NCR,109431,185671.03,1,0
926390,NCR,333243,470123.23,1,0
216408,NCR,1178082,1429079.44,1,0
548404,NCR,92637,70357.06,1,0
206428,NCR,91314,122481.66,1,0
292458,NCR,29835,34787.61,1,0
919465,NCR,28791,25858.92,1,0
630483,NCR,5436,4986.09,1,0
825224,NCR,885150,942036.82,1,0
404295,NCR,28962,34832.25,1,0
150387,NCR,6903,5514.88,1,0
946844,NCR,64665,67354.16,1,0
751897,NCR,2264391,3313764.14,0,1
910845,NCR,4977,7389.35,1,0
763316,NCR,61668,54449.27,1,0
727002,NCR,14400,11891.17,1,0
559336,NCR,72837,128904.59,1,0
236251,NCR,72837,135498.67,1,0
529747,NCR,161928,130964.13,1,0
858323,NCR,604530,533249.87,1,0
158617,NCR,240622.2,285281.68,1,0
334713,NCR,32094.19,33176.15,1,0
318842,NCR,32094.19,31693.82,1,0
649501,NCR,32094.19,35484.95,1,0
445540,NCR,74144.01,66807.9,1,0
371999,NCR,32094.19,36578.14,1,0
218472,NCR,1833.95,1441.54,1,0
580250,NCR,867339.18,1192456.06,1,0
907556,NCR,930359.34,1148774.22,1,0
327269,NCR,44565.08,69684.63,1,0
892361,NCR,1270260.69,1122402.35,1,0
398442,NCR,255027.8,197085.49,1,0
423598,NCR,265923.32,321708.72,1,0
327184,NCR,22924.42,18783.7,1,0
314582,NCR,2792753.33,3835344,0,1
975779,NCR,343866.37,287890.42,1,0
337568,NCR,1931904.47,1483030.33,0,1
459597,NCR,202488.69,241042.54,1,0
511988,NCR,308888.28,354171.3,1,0
455917,NCR,719781.99,795934.93,1,0
304879,NCR,308888.28,269009.57,1,0
881425,NCR,14066.75,17906.42,1,0
208817,NCR,14066.75,10934.03,1,0
918862,NCR,14066.75,20624.56,1,0
523984,NCR,14066.75,12413.21,1,0
226520,NCR,28133.51,45866.06,1,0
413066,NCR,1383987.18,2371758.21,1,0
177491,NCR,72602.61,66677.07,1,0
906786,NCR,7260.26,8806.41,1,0
252960,NCR,1800544.63,2139219.88,0,1
753041,NCR,78741.16,104037.54,1,0
275656,NCR,14130000,12780000,0,1
366151,NCR,1669180.2,2377630.35,1,0
143520,NCR,399314.33,406856.58,1,0
578715,NCR,97105.99,77444.45,1,0
728171,NCR,358672.3,413362.66,1,0
147189,NCR,385701.35,581398.49,1,0
626834,NCR,32671.17,43275.19,1,0
840720,NCR,163355.86,205674.83,1,0
911131,NCR,47295.92,63972.93,1,0
814705,NCR,138384.12,110866.44,1,0
896748,NCR,98996.02,72512.61,1,0
640263,NCR,125693.56,179457.22,1,0
756661,NCR,98996.02,159660.78,1,0
267816,NCR,98996.02,123152.73,1,0
876992,NCR,140282.99,112724.12,1,0
866801,NCR,140282.99,137794.37,1,0
135106,NCR,135793.93,164294.23,1,0
995558,NCR,220188.18,199346.49,1,0
577604,NCR,220188.18,321763.63,1,0
334208,NCR,220188.18,171988.99,1,0
601206,NCR,135793.93,196166.83,1,0
335613,NCR,135793.93,112373.28,1,0
586214,NCR,123449.03,97843.85,1,0
645424,NCR,220188.18,315327.09,1,0
584595,NCR,123449.03,171439.72,1,0
924430,NCR,135793.93,172195.4,1,0
842675,NCR,4402.16,6383.79,1,0
379599,NCR,2175765.3,2915525.5,0,1
280286,NCR,2158173,2053976.41,0,1
147622,NCR,11160000,12600000,0,1
592104,NCR,316139.85,338392.3,1,0
936914,NCR,57600,93768.19,1,0
689421,NCR,221400,262226.16,1,0
162509,NCR,111600,89661.45,1,0
205789,NCR,15120,14018.96,1,0
559033,NCR,9180,11037.3,1,0
411708,NCR,127800,155905.78,1,0
945341,NCR,1434992.47,1515616.08,1,0
985128,NCR,128341.04,135476.81,1,0
859902,NCR,638012.84,621929.81,1,0
