Spends,Spends band,Fraud,Type of swipe
100957.7,2,0,Online 
22347.7,1,0,Online 
6631315,3,0,Online 
145765.4,2,0,Online 
8647.1,1,0,Online 
9994.7,1,0,Online 
314440,3,0,Online 
20629510,3,0,Online 
561500,3,0,Online 
393050,3,0,Online 
4324897.6,3,0,Online 
3240753.4,3,0,Online 
336787.7,3,0,Online 
11230,1,0,Online 
11230,1,0,Online 
236503.8,3,0,Online 
132963.2,2,0,Online 
109267.9,2,0,Online 
11230,1,0,Online 
129145,2,0,Online 
2960228,3,0,Online 
1094925,3,0,Online 
11117.7,1,0,Online 
403718.5,3,0,Online 
4200020,3,0,Online 
123417.7,2,0,Online 
927148.8,3,0,Online 
127348.2,2,0,Online 
898400,3,0,Online 
666500.5,3,0,Online 
483339.2,3,0,Online 
78497.7,2,0,Online 
6176500,3,0,Online 
505237.7,3,0,Online 
7973.3,1,0,Online 
119599.5,2,0,Online 
259188.4,3,0,Online 
332295.7,3,0,Online 
110166.3,2,0,Online 
22235.4,1,0,Online 
112300,2,0,Online 
15497.4,1,0,Online 
9994.7,1,0,Online 
224600,3,0,Online 
97027.2,2,0,Online 
280413.1,3,0,Online 
56037.7,1,0,Online 
560377,3,0,Online 
14444250.6,3,0,Online 
2964046.2,3,0,Online 
3243336.3,3,0,Online 
1123000,3,0,Online 
829897,3,0,Online 
8641597.3,3,0,Online 
8534.8,1,0,Online 
8534.8,1,0,Online 
293439.9,3,0,Online 
1781527.2,3,0,Online 
1481798.5,3,0,Online 
368905.5,3,0,Online 
11230,1,0,Online 
22235.4,1,0,Online 
11230,1,0,Online 
13305640.9,3,0,Online 
224.6,1,0,Online 
149022.1,2,0,Online 
43235.5,1,0,Online 
30208.7,1,0,Online 
4941200,3,0,Online 
504227,3,0,Online 
1723805,3,0,Online 
1172973.5,3,0,Online 
1841495.4,3,0,Online 
112187.7,2,0,Online 
772062.5,3,0,Online 
44583.1,1,0,Online 
20101.7,1,0,Online 
2403220,3,0,Online 
1485055.2,3,0,Online 
280637.7,3,0,Online 
11230,1,0,Online 
9994.7,1,0,Online 
14486.7,1,0,Online 
168450,3,0,Online 
5019810,3,0,Online 
707490,3,0,Online 
8534.8,1,0,Online 
280750,3,0,Online 
101070,2,0,Online 
455713.4,3,0,Online 
115669,2,0,Online 
280750,3,0,Online 
280750,3,0,Online 
14486.7,1,0,Online 
179118.5,3,0,Online 
110952.4,2,0,Online 
971956.5,3,0,Online 
451109.1,3,0,Online 
1111770,3,0,Online 
20101.7,1,0,Online 
135321.5,2,0,Online 
393050,3,0,Online 
291867.7,3,0,Online 
22460,1,0,Online 
2766398.2,3,0,Online 
16395.8,1,0,Online 
112300,2,0,Online 
14486.7,1,0,Online 
157220,2,0,Online 
819790,3,0,Online 
50422.7,1,0,Online 
31668.6,1,0,Online 
795982.4,3,0,Online 
1741211.5,3,0,Online 
707490,3,0,Online 
390242.5,3,0,Online 
261322.1,3,0,Online 
1064154.8,3,0,Online 
1684500,3,0,Online 
73444.2,2,0,Online 
179118.5,3,0,Online 
19989.4,1,0,Online 
182038.3,3,0,Online 
2077550,3,0,Online 
449087.7,3,0,Online 
34139.2,1,0,Online 
296472,3,0,Online 
89727.7,2,0,Online 
70749,2,0,Online 
7214152,3,0,Online 
20101.7,1,0,Online 
106572.7,2,0,Online 
56037.7,1,0,Online 
1498755.8,3,0,Online 
560938.5,3,0,Online 
2150432.7,3,0,Online 
2769318,3,0,Online 
332295.7,3,0,Online 
168337.7,2,0,Online 
884811.7,3,0,Online 
1459900,3,0,Online 
100957.7,2,0,Online 
1886640,3,0,Online 
56150,1,0,Online 
16732.7,1,0,Online 
90064.6,2,0,Online 
8986695.2,3,0,Online 
1571638.5,3,0,Online 
67380,2,0,Online 
505350,3,0,Online 
43684.7,1,0,Online 
247060,3,0,Online 
28973.4,1,0,Online 
9583682,3,0,Online 
56037.7,1,0,Online 
50422.7,1,0,Online 
762517,3,0,Online 
2122470,3,0,Online 
2010170,3,0,Online 
898400,3,0,Online 
1230808,3,0,Online 
336900,3,0,Online 
2098887,3,0,Online 
4215742,3,0,Online 
168450,3,0,Online 
291980,3,0,Online 
120161,2,0,Online 
673800,3,0,Online 
2470.6,1,0,Online 
222129.4,3,0,Online 
5080227.4,3,0,Online 
9433.2,1,0,Online 
22235.4,1,0,Online 
9994.7,1,0,Online 
561387.7,3,0,Online 
14486.7,1,0,Online 
112187.7,2,0,Online 
332071.1,3,0,Online 
685030,3,0,Online 
336787.7,3,0,Online 
336787.7,3,0,Online 
438194.6,3,0,Online 
401247.9,3,0,Online 
223027.8,3,0,Online 
30208.7,1,0,Online 
729837.7,3,0,Online 
9994.7,1,0,Online 
112187.7,2,0,Online 
9994.7,1,0,Online 
11117.7,1,0,Online 
2245887.7,3,0,Online 
14486.7,1,0,Online 
327242.2,3,0,Online 
831020,3,0,Online 
1617120,3,0,Online 
1417787.5,3,0,Online 
8534.8,1,0,Online 
1721222.1,3,0,Online 
1433958.7,3,0,Online 
1171289,3,0,Online 
199781.7,3,0,Online 
29984.1,1,0,Online 
322862.5,3,0,Online 
11230,1,0,Online 
292878.4,3,0,Online 
22235.4,1,0,Online 
14486.7,1,0,Online 
399900.3,3,0,Online 
11230,1,0,Online 
729950,3,0,Online 
25941.3,1,0,Online 
1931560,3,0,Online 
157107.7,2,0,Online 
281423.8,3,0,Online 
1122438.5,3,0,Online 
77150.1,2,0,Online 
448077,3,0,Online 
113872.2,2,0,Online 
892672.7,3,0,Online 
160813.6,2,0,Online 
9994.7,1,0,Online 
639997.7,3,0,Online 
101406.9,2,0,Online 
56150,1,0,Online 
11117.7,1,0,Online 
44807.7,1,0,Online 
11230,1,0,Online 
76925.5,2,0,Online 
204386,3,0,Online 
4155100,3,0,Online 
42674,1,0,Online 
112300,2,0,Online 
2947875,3,0,Online 
842699.2,3,0,Online 
112187.7,2,0,Online 
2968762.8,3,0,Online 
617537.7,3,0,Online 
443248.1,3,0,Online 
197311.1,3,0,Online 
89727.7,2,0,Online 
168450,3,0,Online 
1370060,3,0,Online 
1448670,3,0,Online 
56150,1,0,Online 
1146358.4,3,0,Online 
8647.1,1,0,Online 
10331.6,1,0,Online 
887170,3,0,Online 
9994.7,1,0,Online 
1516050,3,0,Online 
448077,3,0,Online 
26278.2,1,0,Online 
126562.1,2,0,Online 
100957.7,2,0,Online 
68390.7,2,0,Online 
597099.1,3,0,Online 
89952.3,2,0,Online 
723212,3,0,Online 
453355.1,3,0,Online 
112187.7,2,0,Online 
628880,3,0,Online 
325670,3,0,Online 
84786.5,2,0,Online 
11230,1,0,Online 
78497.7,2,0,Online 
5446325.4,3,0,Online 
926475,3,0,Online 
168450,3,0,Online 
2223540,3,0,Online 
561275.4,3,0,Online 
20101.7,1,0,Online 
20062395,3,0,Online 
4267400,3,0,Online 
3165512.4,3,0,Online 
849437.2,3,0,Online 
1569392.5,3,0,Online 
2313380,3,0,Online 
129145,2,0,Online 
919737,3,0,Online 
957357.5,3,0,Online 
224487.7,3,0,Online 
842250,3,0,Online 
352509.7,3,0,Online 
69289.1,2,0,Online 
209327.2,3,0,Online 
9994.7,1,0,Online 
22235.4,1,0,Online 
768805.8,3,0,Online 
1985014.8,3,0,Online 
30096.4,1,0,Online 
1224070,3,0,Online 
505350,3,0,Online 
393050,3,0,Online 
1617120,3,0,Online 
560377,3,0,Online 
330162,3,0,Online 
1111770,3,0,Online 
20101.7,1,0,Online 
470312.4,3,0,Online 
1912693.6,3,0,Online 
84674.2,2,0,Online 
785763.1,3,0,Online 
58283.7,2,0,Online 
8931106.7,3,0,Online 
505350,3,0,Online 
112075.4,2,0,Online 
11230,1,0,Online 
2246000,3,0,Online 
9994.7,1,0,Online 
4408336.5,3,0,Online 
86358.7,2,0,Online 
2827826.3,3,0,Online 
22235.4,1,0,Online 
505350,3,0,Online 
993855,3,0,Online 
224375.4,3,0,Online 
1643622.8,3,0,Online 
938828,3,0,Online 
29984.1,1,0,Online 
6173804.8,3,0,Online 
78610,2,0,Online 
20101.7,1,0,Online 
513211,3,0,Online 
5861049.3,3,0,Online 
2452968.9,3,0,Online 
970833.5,3,0,Online 
9430617.1,3,0,Online 
11230,1,0,Online 
1066850,3,0,Online 
2101357.6,3,0,Online 
138241.3,2,0,Online 
160813.6,2,0,Online 
179680,3,0,Online 
374183.6,3,0,Online 
180803,3,0,Online 
1684500,3,0,Online 
14486.7,1,0,Online 
2997848.5,3,0,Online 
2807500,3,0,Online 
11230,1,0,Online 
359360,3,0,Online 
1599152,3,0,Online 
280637.7,3,0,Online 
348017.7,3,0,Online 
880432,3,0,Online 
40203.4,1,0,Online 
1123000,3,0,Online 
42449.4,1,0,Online 
11230,1,0,Online 
167776.2,2,0,Online 
28075,1,0,Online 
1224070,3,0,Online 
602264.9,3,0,Online 
22235.4,1,0,Online 
23876439.9,3,0,Online 
129145,2,0,Online 
606420,3,0,Online 
20101.7,1,0,Online 
673800,3,0,Online 
2021400,3,0,Online 
11117.7,1,0,Online 
1253380.3,3,0,Online 
19989.4,1,0,Online 
1456531,3,0,Online 
577671.2,3,0,Online 
359360,3,0,Online 
140375,2,0,Online 
40091.1,1,0,Online 
280750,3,0,Online 
133075.5,2,0,Online 
22347.7,1,0,Online 
200904.7,3,0,Online 
313878.5,3,0,Online 
133075.5,2,0,Online 
2643317.4,3,0,Online 
8647.1,1,0,Online 
20943950,3,0,Online 
14486.7,1,0,Online 
953314.7,3,0,Online 
1168144.6,3,0,Online 
2734505,3,0,Online 
1061010.4,3,0,Online 
1487975,3,0,Online 
12465861.5,3,0,Online 
536794,3,0,Online 
22235.4,1,0,Online 
189787,3,0,Online 
188102.5,3,0,Online 
1638457,3,0,Online 
56037.7,1,0,Online 
11230,1,0,Online 
173952.7,3,0,Online 
9994.7,1,0,Online 
2152791,3,0,Online 
333531,3,0,Online 
1005758.8,3,0,Online 
2659937.8,3,0,Online 
841576.2,3,0,Online 
2693515.5,3,0,Online 
2192432.9,3,0,Online 
1774340,3,0,Online 
212920.8,3,0,Online 
20101.7,1,0,Online 
9994.7,1,0,Online 
1062807.2,3,0,Online 
112187.7,2,0,Online 
220894.1,3,0,Online 
202027.7,3,0,Online 
627083.2,3,0,Online 
4500422.5,3,0,Online 
402595.5,3,0,Online 
8265280,3,0,Online 
100620.8,2,0,Online 
135321.5,2,0,Online 
3267817.7,3,0,Online 
269295.4,3,0,Online 
34868813.1,3,0,Online 
67267.7,2,0,Online 
190685.4,3,0,Online 
112300,2,0,Online 
49861.2,1,0,Online 
7689967.1,3,0,Online 
30994.8,1,0,Online 
2425680,3,0,Online 
3882211,3,0,Online 
11117.7,1,0,Online 
55588.5,1,0,Online 
0,1,0,Online 
2246000,3,0,Online 
16395.8,1,0,Online 
28973.4,1,0,Online 
224600,3,0,Online 
2804018.7,3,0,Online 
2887345.3,3,0,Online 
111738.5,2,0,Online 
42224.8,1,0,Online 
110840.1,2,0,Online 
1134230,3,0,Online 
1064604,3,0,Online 
1086502.5,3,0,Online 
50422.7,1,0,Online 
1615884.7,3,0,Online 
28973.4,1,0,Online 
14486.7,1,0,Online 
8534.8,1,0,Online 
3061971.8,3,0,Online 
87930.9,2,0,Online 
440889.8,3,0,Online 
22235.4,1,0,Online 
1235300,3,0,Online 
634495,3,0,Online 
1070780.5,3,0,Online 
829897,3,0,Online 
411691.8,3,0,Online 
22460,1,0,Online 
672677,3,0,Online 
3190892.2,3,0,Online 
224600,3,0,Online 
160364.4,2,0,Online 
428986,3,0,Online 
20101.7,1,0,Online 
69401.4,2,0,Online 
880432,3,0,Online 
1235300,3,0,Online 
24481.4,1,0,Online 
437970,3,0,Online 
165867.1,2,0,Online 
1167695.4,3,0,Online 
1632954.3,3,0,Online 
279627,3,0,Online 
321178,3,0,Online 
127797.4,2,0,Online 
168450,3,0,Online 
1351530.5,3,0,Online 
432579.6,3,0,Online 
157107.7,2,0,Online 
310284.9,3,0,Online 
449200,3,0,Online 
129145,2,0,Online 
999470,3,0,Online 
8647.1,1,0,Online 
1659232.5,3,0,Online 
140375,2,0,Online 
1010700,3,0,Online 
2306080.5,3,0,Online 
112187.7,2,0,Online 
109492.5,2,0,Online 
280750,3,0,Online 
11117.7,1,0,Online 
851683.2,3,0,Online 
22460,1,0,Online 
137904.4,2,0,Online 
681211.8,3,0,Online 
329375.9,3,0,Online 
112300,2,0,Online 
9994.7,1,0,Online 
130380.3,2,0,Online 
168225.4,2,0,Online 
505350,3,0,Online 
350712.9,3,0,Online 
216289.8,3,0,Online 
167888.5,2,0,Online 
9075299.9,3,0,Online 
1731666,3,0,Online 
179567.7,3,0,Online 
50422.7,1,0,Online 
212471.6,3,0,Online 
746795,3,0,Online 
102417.6,2,0,Online 
772062.5,3,0,Online 
1588595.8,3,0,Online 
943320,3,0,Online 
592944,3,0,Online 
651340,3,0,Online 
22235.4,1,0,Online 
16957.3,1,0,Online 
5615000,3,0,Online 
221792.5,3,0,Online 
808560,3,0,Online 
1281343,3,0,Online 
56150,1,0,Online 
2714178.7,3,0,Online 
9545.5,1,0,Online 
67604.6,2,0,Online 
505350,3,0,Online 
802945,3,0,Online 
40315.7,1,0,Online 
78497.7,2,0,Online 
190910,3,0,Online 
381820,3,0,Online 
1075272.5,3,0,Online 
841239.3,3,0,Online 
145877.7,2,0,Online 
2111240,3,0,Online 
1009577,3,0,Online 
67267.7,2,0,Online 
5615000,3,0,Online 
1448670,3,0,Online 
51208.8,1,0,Online 
761618.6,3,0,Online 
561387.7,3,0,Online 
17294.2,1,0,Online 
50085.8,1,0,Online 
100508.5,2,0,Online 
2181202.9,3,0,Online 
431456.6,3,0,Online 
42224.8,1,0,Online 
1720660.6,3,0,Online 
68390.7,2,0,Online 
112187.7,2,0,Online 
347007,3,0,Online 
923667.5,3,0,Online 
11081539.4,3,0,Online 
124203.8,2,0,Online 
546901,3,0,Online 
100283.9,2,0,Online 
1010700,3,0,Online 
3245470,3,0,Online 
5521791,3,0,Online 
22460,1,0,Online 
561387.7,3,0,Online 
8647.1,1,0,Online 
480756.3,3,0,Online 
826864.9,3,0,Online 
223813.9,3,0,Online 
9994.7,1,0,Online 
579468,3,0,Online 
64235.6,2,0,Online 
224600,3,0,Online 
11230,1,0,Online 
50422.7,1,0,Online 
11230,1,0,Online 
70075.2,2,0,Online 
11230,1,0,Online 
110054,2,0,Online 
8534.8,1,0,Online 
336787.7,3,0,Online 
50422.7,1,0,Online 
53230.2,1,0,Online 
11230,1,1,Online 
1758505.7,3,0,Online 
3077020,3,0,Online 
353969.6,3,0,Online 
20101.7,1,0,Online 
43123.2,1,0,Online 
2116855,3,0,Online 
112300,2,0,Online 
9994.7,1,0,Online 
112300,2,0,Online 
3499829.5,3,0,Online 
439654.5,3,0,Online 
5502.7,1,0,Online 
22347.7,1,0,Online 
112300,2,0,Online 
1766254.4,3,0,Online 
336900,3,0,Online 
53005.6,1,0,Online 
101070,2,0,Online 
617986.9,3,0,Online 
1930886.2,3,0,Online 
11230,1,0,Online 
449200,3,0,Online 
22235.4,1,0,Online 
1978950.6,3,0,Online 
47727.5,1,0,Online 
112300,2,0,Online 
8605212.1,3,0,Online 
545216.5,3,0,Online 
11230,1,0,Online 
56037.7,1,0,Online 
5482373.7,3,0,Online 
314327.7,3,0,Online 
8422.5,1,0,Online 
300851.7,3,0,Online 
515457,3,0,Online 
212920.8,3,0,Online 
2786050.7,3,0,Online 
28973.4,1,0,Online 
11230,1,0,Online 
471660,3,0,Online 
122631.6,2,0,Online 
3697589.8,3,0,Online 
2140774.9,3,0,Online 
39305,1,0,Online 
40091.1,1,0,Online 
16845,1,0,Online 
2796270,3,0,Online 
449200,3,0,Online 
179118.5,3,0,Online 
11230,1,0,Online 
514334,3,0,Online 
112187.7,2,0,Online 
224038.5,3,0,Online 
247060,3,0,Online 
5440935,3,0,Online 
244589.4,3,0,Online 
36722.1,1,0,Online 
145990,2,0,Online 
11230,1,0,Online 
448077,3,0,Online 
2107197.2,3,0,Online 
11230,1,0,Online 
2861404,3,0,Online 
1010700,3,0,Online 
224038.5,3,0,Online 
129145,2,0,Online 
280750,3,0,Online 
4694140,3,0,Online 
2070812,3,0,Online 
166091.7,2,0,Online 
2011293,3,0,Online 
55363.9,1,0,Online 
317584.4,3,0,Online 
280188.5,3,0,Online 
19989.4,1,0,Online 
268397,3,0,Online 
162722.7,2,0,Online 
594516.2,3,0,Online 
403830.8,3,0,Online 
424830.9,3,0,Online 
67267.7,2,0,Online 
22235.4,1,0,Online 
60642,2,0,Online 
320728.8,3,0,Online 
1066850,3,0,Online 
56150,1,0,Online 
196300.4,3,0,Online 
8534.8,1,0,Online 
672677,3,0,Online 
7466040.9,3,0,Online 
2004330.4,3,0,Online 
22235.4,1,0,Online 
11230,1,0,Online 
3458840,3,0,Online 
1340749.7,3,0,Online 
1139508.1,3,0,Online 
28748.8,1,0,Online 
774870,3,0,Online 
415510,3,0,Online 
427076.9,3,0,Online 
1347600,3,0,Online 
2043860,3,0,Online 
49973.5,1,0,Online 
78497.7,2,0,Online 
67267.7,2,0,Online 
76364,2,0,Online 
22235.4,1,0,Online 
1190941.5,3,0,Online 
872683.3,3,0,Online 
1066850,3,0,Online 
336675.4,3,0,Online 
6335741.4,3,0,Online 
156883.1,2,0,Online 
22235.4,1,0,Online 
138241.3,2,0,Online 
167327,2,0,Online 
112187.7,2,0,Online 
50422.7,1,0,Online 
94893.5,2,0,Online 
3649750,3,0,Online 
1950651,3,0,Online 
231113.4,3,0,Online 
50422.7,1,0,Online 
314440,3,0,Online 
11230,1,0,Online 
112300,2,0,Online 
23807.6,1,0,Online 
224600,3,0,Online 
728827,3,0,Online 
8534.8,1,0,Online 
176535.6,3,0,Online 
50422.7,1,0,Online 
96578,2,0,Online 
16845,1,0,Online 
100957.7,2,0,Online 
133637,2,0,Online 
8002610.3,3,0,Online 
11230,1,0,Online 
2413776.2,3,0,Online 
11117.7,1,0,Online 
80294.5,2,0,Online 
11230,1,0,Online 
501981,3,0,Online 
128920.4,2,0,Online 
0,1,0,Online 
233808.6,3,0,Online 
274573.5,3,0,Online 
11230,1,0,Online 
977010,3,0,Online 
11230,1,0,Online 
672677,3,0,Online 
8534.8,1,0,Online 
897277,3,0,Online 
19427900,3,0,Online 
68278.4,2,0,Online 
40091.1,1,0,Online 
56150,1,0,Online 
909630,3,0,Online 
505350,3,0,Online 
11230,1,0,Online 
141161.1,2,0,Online 
14486.7,1,0,Online 
11230,1,0,Online 
30208.7,1,0,Online 
508943.6,3,0,Online 
183161.3,3,0,Online 
703559.5,3,0,Online 
16845,1,0,Online 
1403750,3,0,Online 
224487.7,3,0,Online 
11230,1,0,Online 
336900,3,0,Online 
280750,3,0,Online 
112187.7,2,0,Online 
778014.4,3,0,Online 
13812.9,1,0,Online 
1291337.7,3,0,Online 
56150,1,0,Online 
123530,2,0,Online 
78497.7,2,0,Online 
708949.9,3,0,Online 
117241.2,2,0,Online 
2246000,3,0,Online 
335215.5,3,0,Online 
168450,3,0,Online 
53679.4,1,0,Online 
322862.5,3,0,Online 
1044277.7,3,0,Online 
768356.6,3,0,Online 
526687,3,0,Online 
22235.4,1,0,Online 
1336370,3,0,Online 
22460,1,0,Online 
16957.3,1,0,Online 
112300,2,0,Online 
109380.2,2,0,Online 
322301,3,0,Online 
22235.4,1,0,Online 
6639176,3,0,Online 
280637.7,3,0,Online 
306579,3,0,Online 
583286.2,3,0,Online 
11117.7,1,0,Online 
134760,2,0,Online 
774870,3,0,Online 
11230,1,0,Online 
645163.5,3,0,Online 
100957.7,2,0,Online 
