"","id","about","category","description","general_info","likes","link","city","state","country","latitude","longitude","name","talking_about_count","username","website"
"11","538924889633506",NA,"Politician",NA,NA,NA,"https://www.facebook.com/Narendra-Modi-True-Indian-538924889633506/",NA,NA,NA,NA,NA,"Narendra Modi - True Indian",278416,NA,NA
"12","1608964809432534","यह पेज मोदी जी के समर्थक द्वारा संचालित किया जा रहा  है ","Community",NA,NA,"SatyaVijayi","https://www.facebook.com/SupportNaMo4india/",NA,NA,NA,NA,NA,"We Support Narendra Modi",76298,"SupportNaMo4india",NA
"13","26888212699","www.modis.com - Exceptional Connections to Top IT and Engineering Opportunities","Recruiter","To succeed in the complex world of technology, you need exceptional connections – to the right experts, the right opportunities and the right answers. You’ll find Modis right in the center of this ever-changing technological world – uncovering opportunities and connecting possibilities. 
As a global provider of IT and engineering staffing services and the second largest in North America, Modis connects the very best IT and engineering professionals to great opportunities at leading companies. And we do it every single day – for both temporary and permanent assignments and across virtually all industries. We use our insight, flexibility and expanded resources to understand your goals and help you achieve them.
 
Yes, the world of technology is a complex place. But from our perspective, we see things clearly. 
 
You know where you want to go. Let us help you get there. 
 
Visit modis.com/about/ to learn more.
",NA,"916666941687414","https://www.facebook.com/Modis/","Jacksonville","FL","United States",30.242432765592,-81.549836871332,"Modis",71,"Modis","http://www.modis.com"
"14","1415757855370851","Like us to get regular updates about Modi Sarkar.
www.facebook.com/knowurgov
http://twitter.com/namo_updates
","Community",NA,NA,"Narendra Modi","https://www.facebook.com/knowurgov/",NA,NA,NA,NA,NA,"Modi Government Updates",7827,"knowurgov","http://knowurgov.com/"
"15","107416539288028",NA,"City","Modica is a city and comune in the Province of Ragusa, Sicily, southern Italy. The city is situated in the Hyblaean Mountains. Its architecture has been recognised as providing outstanding testimony to the exuberant genius and final flowering of Baroque art in Europe and, along with other towns in the Val di Noto, is part of UNESCO Heritage Sites in Italy.",NA,NA,"https://www.facebook.com/pages/Modica/107416539288028","Modica",NA,"Italy",36.8667,14.7667,"Modica",0,NA,"http://www.comune.modica.rg.it/"
"16","629525997080880"," नमस्कार यह श्री नरेंद्र मोदी जी का अन ऑफिशियल पेज है","Media/News Company","https://www.youtube.com/channel/UCcCxyzapED5fOcVuOumwfLA",NA,"177526890164","https://www.facebook.com/Unofficial.Modi.g/","Delhi",NA,"India",28.67897,77.28365,"Narender Modi - Unofficial",670087,"Unofficial.Modi.g","Answrhub.com"
"17","572116326276465","This page is dedicated for all those who trust Narendra Modi to take India towards the path of development. Welcome all who look for a bright future.","Politician",NA,NA,"General V.K. Singh","https://www.facebook.com/ITrustNaMo/",NA,NA,NA,NA,NA,"I Trust Narendra Modi",1353,"ITrustNaMo","http://satyavijayi.com"
"18","427991917262845","Fan Page of Prime Minister Narendra Modi ","Community","This is for Fans of NaMo. 
NaMo: A ray of Hope for Shining Bharath and Jagadguru Bharath.
Narendra Modi : The definition of leadership :- A movement for good governance : Of the People, By the People, For the People.
Narendra Modi is the Indian leader who wants to make India a World Leader again :)",NA,"293491824113997","https://www.facebook.com/NaMoFansKarnataka/",NA,NA,NA,NA,NA,"Narendra Modi Fans : Karnataka",63557,"NaMoFansKarnataka",NA
"19","584046358274598","This page will expose all the bluffs of Narendra Modi! As we say, get informative, entertaining and intriguing details here! Follow us on Twitter: https://twitter.com/BluffmasterModi","News & Media Website",NA,NA,"I Support Amit Shah","https://www.facebook.com/bluffmastermodi/",NA,NA,NA,NA,NA,"Bluffmaster Modi",26238,"bluffmastermodi","http://www.fekuji.com/"
"20","135889613104563",NA,"City",NA,NA,NA,"https://www.facebook.com/pages/Modinagar-India/135889613104563","Modinagar",NA,"India",28.8307,77.5702,"Modinagar, India",0,NA,"http://www.agc.co.in"
