label,filename
1,TRAIN_00280.eml
0,TRAIN_00281.eml
0,TRAIN_00282.eml
1,TRAIN_00283.eml
1,TRAIN_00284.eml
0,TRAIN_00285.eml
0,TRAIN_00286.eml
0,TRAIN_00287.eml
0,TRAIN_00288.eml
0,TRAIN_00289.eml
1,TRAIN_00290.eml
0,TRAIN_00291.eml
1,TRAIN_00292.eml
1,TRAIN_00293.eml
1,TRAIN_00294.eml
0,TRAIN_00295.eml
1,TRAIN_00296.eml
1,TRAIN_00297.eml
0,TRAIN_00298.eml
